BS Value: 10.217867804347847
N,Call Value
2,9.98644812601349
4,10.287301121702995
6,10.353338387796873
8,10.370153452917986
10,10.37156731470543
20,10.339098506710933
50,10.267105603240607
100,10.215557362514465
200,10.222573850520766
300,10.22693159577695
400,10.221828837544955
500,10.215034709124806
600,10.21675940643473

